source_id,designation,ra,dec,l,b,parallax,phot_g_mean_mag,bp_rp,teff_gspphot,logg_gspphot,distance_gspphot,distance_pc
5929593370286010368,Gaia DR3 5929593370286010368,254.17736931645814,-55.256854889332075,333.21900329008173,-7.542233549503831,0.12170447685102508,12.952552,2.0528526,4926.8843,1.6793,7296.9126,7296.9126
5959434833089256576,Gaia DR3 5959434833089256576,261.3617126205606,-42.627558519865026,346.2629821042411,-3.9470424796174832,0.2247399398008661,15.2296095,2.1569958,6070.1084,2.3796,8567.803,8567.803
4120601931711401600,Gaia DR3 4120601931711401600,265.96900985990754,-18.259260737628985,8.927217881945845,5.894229660366667,0.2044729753581103,15.608745,2.2753887,4644.613,2.1399,6662.1274,6662.1274
4063360085057246464,Gaia DR3 4063360085057246464,271.14583731106694,-26.288253002979165,4.4067021554878405,-2.289615637473422,-0.020379293731673777,15.286323,4.1775684,3718.4062,0.5009,6578.3525,6578.3525
4075506978437810176,Gaia DR3 4075506978437810176,283.2649030518535,-23.550341278890762,11.890628824951524,-10.833954200795272,0.13365532239763792,15.039983,1.5106525,4839.9507,2.3773,7510.111,7510.111
4088183866473688320,Gaia DR3 4088183866473688320,285.7223114444894,-17.721280320409413,18.253182760503975,-10.43597797280834,0.18229095308067655,14.682817,1.7385464,4794.5254,2.1438,9084.631,9084.631
6760399955545902080,Gaia DR3 6760399955545902080,283.79116674689345,-30.794782029819924,5.3185621252700175,-14.233764946107307,0.11495259427333811,13.495716,1.4980116,4705.8486,1.5366,5890.596,5890.596
4161561248099901056,Gaia DR3 4161561248099901056,264.4684898669368,-13.18973628659231,12.556475130393437,9.749388739398636,0.15894302700135254,15.259916,2.0662231,4694.294,2.314,7206.2554,7206.2554
4063077102664622336,Gaia DR3 4063077102664622336,271.9780386987345,-26.9514046492211,4.188825804050287,-3.2621982502405884,0.035462359038795646,13.680446,2.5978975,4832.0176,1.4122,9938.889,9938.889
4037099143184802176,Gaia DR3 4037099143184802176,271.22003854515276,-37.31173196314365,354.7488169989616,-7.676779529949702,0.06415973545692112,15.116396,1.7421637,4578.113,2.2824,7553.4146,7553.4146
5904571887231213440,Gaia DR3 5904571887231213440,220.40700173080486,-49.98600394352284,320.4588915009568,9.09845124392098,0.12259074429805888,15.251007,1.6308823,4427.3823,2.1003,6818.1426,6818.1426
4039440243958124288,Gaia DR3 4039440243958124288,273.51376977698226,-33.77214705993761,358.78606133830226,-7.662612777427266,0.11516029725449374,14.430866,1.5154438,4514.927,2.2174,7128.4976,7128.4976
568878146458668800,Gaia DR3 568878146458668800,35.16194576381562,80.99170328787574,126.52962404797391,18.749541446883633,0.05950069146510262,13.610686,1.8293343,4055.6624,0.7136,12225.36,12225.36
5993802993908426880,Gaia DR3 5993802993908426880,244.23591959249467,-41.29436114341201,339.1605328774214,6.6884509220901105,0.17462555132074742,15.193435,2.3186998,5060.7354,2.143,8803.139,8803.139
6255261739372508672,Gaia DR3 6255261739372508672,233.05253729507032,-18.26375889060001,348.0805603205996,30.17811116720444,0.22675699905703467,14.567711,1.2305794,5801.3022,2.4176,12744.501,12744.501
5889614577758744832,Gaia DR3 5889614577758744832,230.1262872751188,-52.234708215655715,324.76120959306826,4.203555378145959,0.4115588572195321,10.456715,3.4984083,3557.814,0.2721,6975.035,6975.035
5821172762033555200,Gaia DR3 5821172762033555200,243.5776968678163,-67.51851711574785,320.53734942839725,-11.880041502317768,-0.043870118183689875,15.65361,1.5846205,4552.8213,2.2499,10529.587,10529.587
6422971313105166592,Gaia DR3 6422971313105166592,307.3648166021581,-68.9041882695653,326.1826482341902,-33.9376505617008,0.08507186199485331,15.175962,1.113267,5078.0845,2.3314,9708.638,9708.638
4046309000588065280,Gaia DR3 4046309000588065280,274.96402895050124,-31.311840387103377,1.5574825828912429,-7.615521045240028,0.11500620437805309,13.988604,2.024293,5419.6484,2.304,5604.207,5604.207
5240825300535716992,Gaia DR3 5240825300535716992,167.02350435128994,-63.54104574149727,291.7206035308203,-2.9415501256598953,0.08489125874846445,14.199701,3.1479263,3941.1418,1.4683,5012.737,5012.737
5953382193374956544,Gaia DR3 5953382193374956544,261.1433690847309,-43.4768780049103,345.4672507709729,-4.288915341675974,0.21069443933168536,15.159223,1.9555817,4554.1562,2.4006,5135.9146,5135.9146
